id,text,word,pejorative
61241,@1V4vendetta anche noe ' dell arca e jona nella balena..mose' pure era ucraino ... forse pure jesu' ahaha🤪🤪,balena,0
61242,Quanto sei vecchio!! Perche non torniamo alle lampade con il grasso di balena ! https://t.co/0DQEWBAwoN,balena,0
61243,"#100GiorniDiCoseBelle\n\nHerman Melville - Moby Dick \n\nCome può evadere il prigioniero se non aprendosi un varco attraverso il muro? Per me, la balena bianca è quel muro. Talvolta penso che al di là non ci sia nulla. Ma mi basta. Mi occupa, mi colma",balena,0
61244,@ilpitagora @matteosalvinimi Quando ti balena in mente che dalla ramanzina senza pena per furto puoi rischiare di farti 20/30 anni per omicidio vedi come cambi atteggiamento... son tutti buoni con i figli sotto i treni degli altri!,balena,0
61245,Oggi ritorno in piscina dopo 12 giorni senza fare nulla. Se non faccio la balena poco ci manca,balena,1
61246,E' una... Balena che ha perso l'orientamento 😂\n(o è una furbastra che ha voluto far parlare di sé) https://t.co/jMzJ57Xmcv,balena,1
61247,@drvcarys_ @Dysagyo_ Tra il non normalizzare e il dargli della balena ci sta l’oceano pacifico.,balena,1
61248,"@borghi_claudio Non lo deve spiegare a noi.\nNoi elettori, in buona parte, lo sapevamo già\nNon è che per distinguere una balena da un pero serva una laurea in biologia o almeno un diploma da perito agrario.\nTremaglia fraintese il ""me ne frego"" degli italiani all'estero e altri si sono organizzati",balena,0
61249,"Ancora sta balena, ogni volta che apre bocca è un aborto https://t.co/JzL7dtvfci",balena,1
61250,"@KasperReloaded La consapevolezza rende esausti e non sarebbe un riposo quello che ti balena in mente ma una rinuncia a essere te stesso.Non si può. Qualunque sia la fine la dovrai vivere proprio perché non hai accettato  la comodità del pensiero uniforme, dell'omologazione, cercando la Verità.",balena,0
10001,"""Che nome c'ha questo piatto?"" \n""La mia Pathong"" \n""E com'è la tua PathonK?""\n""Colorata, speziata... Acida. Come me""",acida,1
10002,"Io proprio non vorrei fare sempre la parte di quella acida e lo so che tutti i miei tweet sono polemici, però NO. GOD. NO. https://t.co/K5PxxrtQ3I",acida,1
10003,"@Rossie9Isabella Patate con carne:\n Patate - 1 kg\n Uovo - 2-3 pezzi.\n Farina - 4-5 cucchiai.  l.\n Carne (maiale, manzo, ecc.) - 500 g\n Cipolle - 1-2 pezzi.\n Sale - a piacere\n Pepe - a piacere\n Olio vegetale per friggere\n Panna acida (per servire) - a piacere",acida,0
10004,@ConfortiTiziana Sembri la sorella gemella di Renato Brunetta. Uguali!! Ora capisco perché sei così acida. La vita con te è stata ingiusta. Ma non te la puoi prendere con gli altri però. Lavora su te stessa e magari in futuro riuscirai ad approcciarti al prossimo senza cattiveria. https://t.co/VGVIBp4GeE,acida,1
10005,@solojuventuss @5e323d2f9d32427 Acida la nonnina...niente lasagna e niente...ma si chiudiamola qui😂😂,acida,1
10006,@f_rodognino A me no. Semplicemente allora è fuori luogo il tuo primo tweet. Comunque meno acida ❤️,acida,1
10007,"@Ponkia3 Ripeto, passa oltre. Grazie. Vai a a sfogare la tua repressione altrove. A me fa ridere e trovo che rappresenti la realta quindi me ne frego se è un Photoshop. Ti disturba la cosa? È il mio profilo e faccio come mi pare. Vai, passa oltre. Sciò sciò, pussa via acida!",acida,1
10008,"@musicaddicted__ @juventusfc Di nulla.\nDel resto, tu sei juventina acida, io incazzato e rancoroso, siamo ben assortiti.\n😁 😁",acida,1
10009,@NoahM21366026 @granatiere1906 @Antone2lo_ @Gabgar71 @ZZiliani Troppo acida. Conduci sicuramente una brutta vita se vuoi conosco qualcuno del tuo paese che potrebbe aiutarti.,acida,1
10010,@smirkdrew Xchè avrà dato una risposta acida a lui,acida,0
10011,"@FabrizioDamian2 @pestapere In seconda battuta occorrerà un'altra conferenza a Riad,come pure in Cassazione. \nIl giudice fiorentino ha fatto buon governo della legge,precisando che la satira anche acida è lecita nei confronti dei politici.\nSpiace per voi renziani ma vi dovete abituare alle sconfitte legali.",acida,0
10012,@CarloMossa Vorrei tornare a prima del 2 Gennaio...Milord...ero meno...acida...ora mi pare di esser diventa come...il gretto..che osò...farmi la morale per dei twitt..,acida,1
10013,@_sommario_ probabilmente se le è sognate oppure considera come “litigata” quando ogni tanto tira una risposta acida 💀,acida,0
10014,"@stanzaselvaggia C'avrei scommesso che la leccaculo di Travaglio e  acida donnetta avrebbe scritto simile boiata\nVede oca selvaggia, c'è un modo intelligente per fare satira ed uno da bimbomichia\nComunque mi fa piacere che il giudice abbia sollevato Travaglio dal pagare l'ennesima calunnia -&gt;",acida,1
10015,"@Sacri71 @silupescu Macchè, barbabietole e panna acida per fare la zuppa.",acida,0
10016,@silupescu Che acida e antipatica quella coi capelli in tinta con la giacca che mostra la magliettina viola.,acida,1
10017,@cindygooo Una grande sorella e' particolarmente acida con Oriana persino nel tono.vergognosi,acida,1
10018,Non ho capito il disprezzo di questa donna per la cognata che si è seduta a tavola per la prima volta in vita sua con la sua famiglia...una vecchia zitellona acida 😠😠😠😠\n#YaliÇapkini https://t.co/b9scfrpzgX,acida,1
10019,@ricckardsummer Infatti è inesistente ogni tanto apre bocca per dire delle cattiverie è acida come quel speudo moroso,acida,1
10020,"@worldernest @alwaysmyself87 Sarebbe un’idea, almeno sarebbe meno acida 🤣🤣🤣",acida,1
10021,@pisto_gol Per cui …….Che vita acida che devi avere .\nÈ una bellissima giornata fatti una passeggiata invece di pensare sempre alla tua ossessione .,acida,0
10022,Troppo idiota non la sopporto più.\nMa d'altronde la capisco una vecchia acida zitella che si crede ancora appetibile e nessuno la calcola. https://t.co/CkEi66tMB4,acida,1
10023,Obiettivo: trovare un posto a Modena che venda birra acida,acida,0
10024,@ARSlav4 @Ingestibile79 @gildacana Si nasconde dietro la foto di un quadro perché è una grassona orribile! Acida e frustrata e venduta ai russi,acida,1
10025,"#BuongiornoATutti da @CasaLettori con il\n\n""Papanasi""\n\nOriginario della Romania \n\ndolce fritto farcito con formaggio fresco e panna leggermente acida.\nServito con un una bella colata di marmellata ai mirtilli e una spolverata di zucchero a velo.\n\n#TripudioDiSapori a #CasaLettori https://t.co/vxNe4nsilx",acida,0
10026,@gommothceccogm1 È BRUTTA FUORI E DENTRO QUELLA ZITELLA ACIDA!!!,acida,1
10027,acida-muriatico: Vale di più un “mi manchi” detto dopo anni o un “ci sono sempre” ? ~ Mecna https://t.co/TQ0bBzTaDC,acida,0
10028,"@itsxandree @sparklelemony Puoi citare quanto vuoi la frase di Gianmarco, per altro infondata, ma è innegabile come sia stata fuori luogo e con una intenzione non pienamente ironica, affermata da te ""acida"".\nSe poi vedo pure i like alle tue colleghe uno fa 2 + 2",acida,0
10029,@M25016096 Ci hanno dato addosso in una maniera rabbiosa e acida. Noi non dimentichiamo di certo. Ma sono convinto che la vita stessa gli darà una lezione.,acida,0
10030,@FioralbaI Ma questi è birra acida artigianale,acida,0
10031,"@Vale41229116 Perché ti vogliono fuori tutti ,,sei una persona acida ,,lo vuoi capire o no..... Nn piaci a nessuno,,,,lunedì entrerà il tuo Gianluca  e farete il siparietto alla Alex belli e moglie ...tutto calcolato a puntino ,,così farai ancora più schifo",acida,1
10032,@agggenzia Manca giusto la panna acida,acida,0
10033,#FoscaInnocenti #Fosca2 ma sarà stata la sorella di viani??? e che ha provato anche ad ucciderlo??? è sempre stata acida e abbastanza cattiva!!,acida,1
10034,odiando il fatto che qualcuno un giorno si è alzato e ha deciso di mimare con la bocca e smorfie acida dei prozac+ su tiktok con tanto di commenti di 15enni “pensavo di conoscerla solo io” no franca è più vecchia di te sta canzone  😪,acida,0
10035,"@sole24ore . molti  burini   ignoranti tra i... ""Kapo'  on the net"";\ntempo fà  un mio commento sulla Dea Egizia (e poi \nRomana )Isis/Iside suscito'  un'  acida  reazione da un \ntanghero che pensava che stessi  parlando male  del\nCaliffato,Daes etc e dei  Musulmani in genere....\nergo......",acida,0
10036,@semplicementeec Dai non fare l’acida prendila così n modo migliore,acida,1
10037,|| un anno di questa piccola serpe acida 🤧 https://t.co/4O6jVqtDUm,acida,1
10038,@lucreziacampolo @suami_leone si lucrezia sei molto acida,acida,1
10039,@Iosonolagomma Ha 40 anni e sei la tipica stronzetta acida annoiata e un po’ rosicona.,acida,1
10040,"@theblondes4 Infatti,si vede che è cattiva acida verso Antonella,poi con Edo.D lo consola ,lo abbraccia e gli parla con la voce da bambina!!Micol vomitevole🤮🤮🤮🤮",acida,1
10041,@Zohan_Zhoe Pesce con panna acida è da gourmet!!!,acida,0
10042,"@sparklelemony Che la mia battuta fosse acida è più che vero ma è ironia, che possa piacere o meno, ma ho avuto la decenza di farlo su un argomento già discusso in casetta e che commentava le clip montate e mandate in onda. Non ho messo # nè nome perché non mi interessava colpire lei",acida,0
10043,"@estancaa2 Ma io lo sapevo dall’inizio che fosse di “cattivo gusto” ma essendo che è una cosa detta e ridetta dai ragazzi stessi in casetta ci si può fare ironia, per quanto acida possa risultare. Sono altri commenti che sto leggendo che fanno schifo e fanno intendere altro, non il mio",acida,0
10044,@estancaa2 No potresti incazzarti per come la fanno passare e non per una battuta ironica (che fosse acida non lo nego assolutamente) che hai voluto intendere a modo tuo vedendoci più di quanto io avevo inteso,acida,0
10045,"@RosyilCapo Ecco acida proprio no, ma leggermente speziata why not?",acida,0
10046,"@sbrigabeghe Voleva fare quella acida e pungente, le hanno detto che ha toppato e non riesce ad accettarlo quindi peggiora le cose per via della sua arroganza.",acida,1
10047,@ChiaraColosimo  ammazza che acida!!,acida,1
10048,"La priorità fino ad oggi è stata quella di saltare da un letto e un uomo all'altro ma chi va con lo zoppo, zoppica (oriana);improvvisamente non essendoci riuscita nell'intento, si ricorda di avere dei figli. Si.Sono acida perché io le donne così le schifo e abbiamo la stessa età https://t.co/EOZQaU514s",acida,1
10049,@MasterChef_it @SkyItalia @NOWTV_It Meglio lui di quella acida di Sara!,acida,1
10050,"@gommothceccogm1 Acida, la bruttezza non ha importanza ma l’ arroganza e l’ acidità sono insopportabili",acida,1
70001,@mrsmommare Vuoi il mio piede dentro rispondi cagna!,cagna,1
70002,"@ka_dge Si in questo caso si usa il verbo tenere, invece di avere, specialmente in Campania! \n‘tengo 'a cazzimma e faccio tutto quello che mi va\npecchè so blues e nun voglio cagnà’ 🎶🎵",cagna,0
70003,Ma com si Bell fatt guard tu tien o zuccr rind o cor tu tien o ben rind o cor tu Ca quan tagg cunusciut me regalat o ben me fatt addivinta chiù femmn t vules ricr nu cagna Maj e nu darett a niscun sul o cor t Ric chell Ca pruov tu si bellez e si ben t vogli ben assaj e fa cos bon,cagna,0
70004,@serenasummerss cagna,cagna,1
70005,"@BungaBu72537413 @LibertaMario Perché un koglione come te non è in grado di capire la differenza tra stupratore e donna vittima. E come dice il tuo Nick, siete pochi ma buoni figli della cagna russa. Talmente koglione che neanche la Wagner ti prenderebbe come scopamico. AGENDA2023 così ti trovi in compagnia",cagna,1
70006,Se lo ricordasse quella cagna! https://t.co/4lA0qvtt53,cagna,1
70007,"@RossiniBetty 1 pugno dentro quel culo da puttana,troia cagna in calore",cagna,1
70008,Oriana e Daniele devono mettersi d’accordo su chi è il cane/cagna e chi il padrone/padrona\n\n#oriana #GFvip https://t.co/3fCV6JwU0M,cagna,0
70009,"@ClownWorld_ Ľaudacia di questa cagna, veramente quando non sapete cucinare, è sempre meglio non sprecare cibo, porca miseria e vaffanculo, porcacciona!",cagna,1
70010,@dettellina11 Peccato oggi l ha scampata quella cagna,cagna,1
70011,@Pat_Zago @Leoncina1971 E la cagna cosa magna?,cagna,0
70012,"@ElisaeTh19 No , una mia amica .. la sua cagna a fatto 5 cuccioli , Labrador marroni .\nLa mia è nera ma ha gia 5 anni",cagna,0
70013,@Marzia_Tortora Credo che tu parli solo smentiscono e scrivimi cagna,cagna,1
70014,@Marzia_Tortora Non solo in culo troia di una cagna in calore\nNon mi posso iscrivere in nessun sito ma sono un gran porco con un bel cazzo scrivjmi se lo vuoi,cagna,1
70015,@errefnt Ma feelin cosa? Sei una cagna,cagna,1
70016,"Bastardi, chiamo da Reggio Emilia, sono un assassino di meridionali. Vi ammazzo tutti bastardi pezzi di merda. Porcodio a tutti i napoletani romani di merda stronzi, siete della gente che viene schiacciata come topi maledetti stronzi figli di una cagna in calore. Io vi sp..",cagna,1
70017,@R0ByX @AlfioKrancic Noi siamo fatti con lo stampino? Dite le stesse cose tutti come un comandamento e saremmo fatti noi con lo stampino. Cerebroleso te l'ho gia detto novax lo vai a dire a quella cagna che ti ha partorito,cagna,1
70018,@FinallyMichele Cagna maledetta,cagna,1
70019,@cathevillareal non voglio una cagna un cane ce l’ho giaaaa,cagna,0
70020,"@laura_pampers Hai perfettamente ragione, una cagna in calore per essere precisi",cagna,1
70021,@aMonicaBellucci Che cagna!,cagna,1
70022,@FinallyMichele Qui c’è del disrispetto per la cagna e Stanis,cagna,1
70023,"Niente, non li mollo anche dopo che sborrano, devo continuare a dargli i bacini.. 😍🥰 https://t.co/wVOVe0FKW7\nhttps://t.co/BQP0dg0tuz non vedo l’ora di farvi vedere i piselloni romani… 🐷 Ti aspetto dentro, iscriviti! #troiaitaliana #pornoamatoriale #cagna https://t.co/a9OovfQQKL",cagna,1
70024,@IannuzziSilvano @IvanBiancoNeroJ @Pistogolblasta2 😂😂😂😂 per vincere uno scudetto vi siete inventati farsopoli e parli… torna nelle fogne aborto di cagna malriuscito,cagna,1
70025,@RossiniBetty Brava cagna in calore!!!...PUTTANA!!!...così si fà...bevi tutto e spalmatene un pò in quella faccia da troia...e poi sì...piscio...a ancora piscio...in tutto in corpo da puttana..e 1 bella leccata di culo che farai...troia...facci eccitare,cagna,1
70026,La povera Corinna Negri veniva chiamata cagna maledetta per una recitazione di questo livello https://t.co/qzYBuKJPJe,cagna,1
70027,"@regina_dicuor Visto che sei na cagna, probabilmente la lasagna.",cagna,1
70028,@Andrea93932 @Profilo20221 Chi sei tu per dure cagna e zoccola alle persone? \nO dire a lui che nn ha cervello che è deficiente? .chi cazz sei tu!!!,cagna,1
70029,"@Profilo20221 @Andrea93932 Zoccola cagna cessa , senza cervello demente .. si scherza?eh no!",cagna,1
70030,"@Andrea93932 @Profilo20221 Tu come ti permetti di dire cagna zoccola ec ecc e a lui senza cervello ecc ecc \nAccanna,!! \nSemini odio per il nulla .\nChe commenti beceri che fai . \nSi chiama educazione!!!",cagna,1
70031,@Profilo20221 Senti il rumore dei baci ..che cagna in calore che è sta schifosa,cagna,1
70032,@CeeAnna20 Vediamola in funzione cagna,cagna,1
70033,@gieipeg1 Non sei una vera cagna se non pompi in discoteca,cagna,1
70034,abbai pure cagna?,cagna,1
70035,"@dadegre Nel giro siamo passati dai miei nipoti e si è scofanato mezza ciotola dei crocchi della loro cagna…erano stati lasciati in giro e sai com’è, servivano per ristorarsi",cagna,0
70036,@Uberbored_80 auguri cagna maledetta! 😍😍😍,cagna,1
70037,@mraverage_it @colombomauro @AndrewPattone Io me lo ricordavo un po' meno cagna 🤔,cagna,1
70038,@masterpharaon90 @GianniTo1966 Cagna a me??? Razza di randagie senza pudore!,cagna,1
70039,#cagna #mistressmilano #dungeonmilano #sexsado #slave \n#schaivodimerda prelevato per adorare la #padrona e la sua amica #leatherdom https://t.co/iFiNA11W0K,cagna,1
70040,nn riesco a trovare il video di Chiara D'Alessandro in cui dice cagna uouououo ti fai le goccioline di pipì addosso cagna auuuuuuuuuu sicuramente sarà una live ma quale delle tante ke ha fatto,cagna,1
70041,#cagna pronta per essere …? \n#slave #schiavodimerda #sexsado #bdms #strapon #gayleather https://t.co/A2cuobyO1G,cagna,1
70042,@nessdimportante La mia cagna allego foto https://t.co/TrESO3vZnD,cagna,0
70043,@Barbara00507780 Ti ha fatto lui la foto? Sei una cagna,cagna,1
70044,Francesco Merola - Cosimo Livello Alto - Napule nun cagnà https://t.co/PNdXrnSAYN via @YouTube,cagna,0
70045,@ARCHI01001100 @Jessica07476852 E tutta una truffa falsi organizzato dalla cagna n calore che si fa pure inculare dai negri,cagna,1
70046,@RossiniBetty Facci vedere la tua faccia sborrata...cagna,cagna,1
70047,Sta cagna infame: prende ordini dagli stragisti (al secolo chi l ha messa dove sta dopo la #InculatadiFini e si inventa il pericolo #terrorismo le figlia di nessuno.\n#GiorgiaMeloni\n#GovernodelaPuttanella\n#56esimiBerlusOcculto\n#mafia #politica #massoneria\n\nhttps://t.co/6r68Cji5v6,cagna,1
70048,"""ma dai tutt* sono rimast* devastat* da ice merchants chissà com'è"" dissi io, prima di vedere ice merchants, inconsapevole del fatto che avrei sofferto come una cagna alla visione dello stesso",cagna,0
70049,"@alevilla1978 Che Shelton abbia una cagna (così come Rune) l’ho notato anch’io. Anche Jannik sembrava così nel 2019-20 rispetto a Zverev medverev Rublev… \nSimone caratterialmente è uno un po’ “clickbait”, poi si entusiasma facilmente e se lo perde anche velocemente.",cagna,0
70050,"@majewsky2000 valorizziamo le nuove frontiere del marketing Made in Naples... come disse qualcuno ""Napule è comm'e na vota, ma tutte ricene che addà cagnà""... c'è qualcuno che continua a non essere d'accordo, e fa di testa sua...",cagna,0
90001,@alwaysmyself87 Perché non ti fai uno spurgo al cervello? Non hai un cesso dove infilarti sotto lo sciacquone?,cesso,0
90002,@karsmj La cosa più surreale è che li shippano ancora bohhhh ma se quello è un cesso,cesso,1
90003,"Spero che presto Oriana inizi a vedere Daniele per quello che realmente è, un ratto cesso #orianistas sono stufa https://t.co/ux7GwleE43",cesso,1
90004,MAMMA MIA REGA ERO AL CESSO E VI STAVO LEGGENDO MI AVETE FATTO VENIRE UN COLPO #oriele,cesso,0
90005,daniele sei un cesso con queste battute stop riprenditi,cesso,1
90006,Deve essere sempre cesso daniele non c sta nient a fa,cesso,1
90007,"@gas_lerner Non sono una fallita e lavoro come tutti, Non me ne frega un cazzo dei soldi, vivo le mie giornate e la soddisfazione non arriva dal lavoro. E ho deliberatamente scelto di non usare i miei titoli di studio. Che posso anche buttarli giù per il cesso. Saluti ne",cesso,0
90008,pure il parrucchiere si è reso conto che è durato due ore il bacio vediamo se dopo fa il cesso oppure glielo dice https://t.co/dzHkVGSYFe,cesso,1
90009,ma che vuol dire che hanno litigato ma io non mi posso alzare manco 1 secondo per andare al@cesso #oriele,cesso,0
90010,Sono quell’amico che non ti manda le foto al cesso ma ti manda le foto del cesso dove ha appena cagato.,cesso,0
90011,nn posso nemmeno dire tanto era un cesso perche invece e un fico pazzesco. ma tu puoi ridurti cosi mio dio bestia k fastidio mi fa prudere le mani,cesso,1
90012,"@Chiaratw28 @visegrad24 @KamilBortniczuk Quindi i russi normali magari quelli che non possono scappare e che non hanno il cesso in casa devono subire le sanzioni, invece quelli ricchi e famosi possono andare alle olimpiadi?",cesso,0
90013,"@bts__haruman squallida sarai tu, l'unica volta che l'hanno chiamata pr giocare e lo hanno fatto apposta insistendo pure, ha fatto bene, almeno abbassa le ali quel  cesso!",cesso,1
90014,devo andare al cesso portandomi il telefono sia mai che christian fa il decimo tweet in 5 minuti o alex dica frasi che solo lui stesso sa decifrare,cesso,0
90015,Questo  fa il cesso e poi pretende pure che sia lei ad andare da lui. Boh #uominiedonne https://t.co/Y2cIgsydY4,cesso,1
90016,"@provax922 È doppiamente coglione perché lo sapeva che Carola se ne sarebbe andata. Se sperava in una dichiarazione d’amore, la provocazione doveva essere ben diversa. Che ratto cesso!",cesso,1
90017,che coraggio baciare quel cesso intasato di tacazzi #gfvip,cesso,1
90018,@gicarestik2 Che cesso di persona Orianana 🤢🤢🤢,cesso,1
90019,@Mov5Stelle Attenzione parle il campione del mondo delle cazzate. Zitti zitti ascoltiamolo. Io lo faccio sul cesso. Mi stimola,cesso,0
90020,rocco ti devi vergognare non si invalidano i sentimenti delle persone così SEI UN CESSO\n#cepostaperte,cesso,1
90021,dai che cesso che fa finta di non ricordare,cesso,1
90022,@Silvia00072 Una caduta devi fare in cesso pieno di merda,cesso,0
90023,@hortominnesota Joe hai mai provato a mettere la testa nel cesso,cesso,0
90024,@PeppinInter Un cesso vivente,cesso,1
90025,@karikatura2609_ Bè le telecamere ci sono si chiama grande fratello tavassone de merda ...chiudi il cesso che c'è una gran puzza de merda💩💩💩💩🚽🚽🚽🚽,cesso,0
90026,@yooncyTV Esci dal cesso che devo cagare😒,cesso,0
90027,@NicolaPorro Le fanno presentare Sanremo pur essendo un cesso e si lamenta del razzismo. Allucinante.,cesso,1
90028,"@agambella Soldi buttati nel cesso, bastava un ago",cesso,0
90029,@sh3stroia però almeno il cesso chiudilo,cesso,0
