id,text,word,pejorative,misogyny
10040,"@theblondes4 Infatti,si vede che è cattiva acida verso Antonella,poi con Edo.D lo consola ,lo abbraccia e gli parla con la voce da bambina!!Micol vomitevole🤮🤮🤮🤮",acida,1,0
10041,@Zohan_Zhoe Pesce con panna acida è da gourmet!!!,acida,0,0
10042,"@sparklelemony Che la mia battuta fosse acida è più che vero ma è ironia, che possa piacere o meno, ma ho avuto la decenza di farlo su un argomento già discusso in casetta e che commentava le clip montate e mandate in onda. Non ho messo # nè nome perché non mi interessava colpire lei",acida,0,0
10043,"@estancaa2 Ma io lo sapevo dall’inizio che fosse di “cattivo gusto” ma essendo che è una cosa detta e ridetta dai ragazzi stessi in casetta ci si può fare ironia, per quanto acida possa risultare. Sono altri commenti che sto leggendo che fanno schifo e fanno intendere altro, non il mio",acida,0,0
10044,@estancaa2 No potresti incazzarti per come la fanno passare e non per una battuta ironica (che fosse acida non lo nego assolutamente) che hai voluto intendere a modo tuo vedendoci più di quanto io avevo inteso,acida,0,0
10045,"@RosyilCapo Ecco acida proprio no, ma leggermente speziata why not?",acida,0,0
10046,"@sbrigabeghe Voleva fare quella acida e pungente, le hanno detto che ha toppato e non riesce ad accettarlo quindi peggiora le cose per via della sua arroganza.",acida,1,0
10047,@ChiaraColosimo  ammazza che acida!!,acida,1,1
10048,"La priorità fino ad oggi è stata quella di saltare da un letto e un uomo all'altro ma chi va con lo zoppo, zoppica (oriana);improvvisamente non essendoci riuscita nell'intento, si ricorda di avere dei figli. Si.Sono acida perché io le donne così le schifo e abbiamo la stessa età https://t.co/EOZQaU514s",acida,1,1
10049,@MasterChef_it @SkyItalia @NOWTV_It Meglio lui di quella acida di Sara!,acida,1,1
10050,"@gommothceccogm1 Acida, la bruttezza non ha importanza ma l’ arroganza e l’ acidità sono insopportabili",acida,1,0
20001,@HoaraBorselli Certo che non capire un cazzo e’ un bel problema! Ci fai la giornalista? Neanche sai cosa sia l’anarchia! Che asina!,asina,1,1
20002,@aaquilas @marcobiondo @c_appendino Ma voi date seguito a questa asina? Nn ha nemmeno un nome nel profilo. Magari sarà un transgender che si spaccia per donna.  Leonessa da tastiera,asina,1,1
20003,@Stefania_67 @marisarivelli91 Poverina sei troppo asina per capire che è fake,asina,1,1
20004,@lissiland Quello di @Marco_Slongo al latte d'asina.,asina,0,0
20005,Cerchi un modo naturale per nutrire e proteggere la tua pelle? Prova il Latte d'Asina Puro Regno Verde e scopri la bellezza naturale #LatteDAsinaPuro #BellezzaNaturale #RegnoVerde https://t.co/L6lQTOsSKN,asina,0,0
20006,@Lorellastelle A loré certo che non capisci una minchia.ASINA,asina,1,1
20007,"@SandraM0027 @ChrisRicchiuti @FratellidItalia @GiorgiaMeloni Prenderò in considerazione il tuo gentile invito. Tu, invece, con quella faccia è inutile che ci provi: tempo sprecato come a lavare la testa all'asina.",asina,0,0
20008,E non solo! Ma non sai nemmeno cosa voglia dire antisemita ! Sei solo una #asina che raglia https://t.co/mkzNAHvfwL,asina,1,1
20009,"@Ipertesa @CarloCalenda Ora 15.000 persone in più sanno che sei una asina, e sei pure contenta 🤣🤣🤣",asina,1,1
20010,@_soleilandia_ Neanche capace di parlare si dice tecnica asina alcolizzata che ci prova con tutti non rispetta le regole del gif e viene sempre ripresa dopo lavertimento di alfonso fuori il 🎪🎪🎪#denzzzers,asina,1,1
20011,@Ipertesa @CarloCalenda Cioè lui dà dell’asina a te ?! 😳 che curaggio,asina,1,0
20012,"@giuseppelandi E qui casca l'asino, anzi l'asina: Meloni diglielo proprio alla romana....forza su, hai fatto un sacco de promesse e fino adesso non hai mantenuta neanche una, è la tua grande occasione, un bel  E STI CAZZI! E la prossima volta non ce provano più. https://t.co/kgGElTHNqS",asina,1,0
20013,@GretaThunberg Mavaffanculo asina venduta. Senza offendere gli asini.,asina,1,1
20014,"@unvermouth Mi fai venire in mente il libro dei Numeri nella Bibbia, dove l’asino viene mostrato come figura sapienziale, l’unico in grado di vedere i segni – prima ancóra dell’uomo – e riconoscere la volontà di Dio; proprio un’asina diventa la voce di Dio.\n\nAnimale intelligente e coraggioso",asina,0,0
20015,"@Ipertesa La disonestà intellettuale è la tua perché se vincesse la Russia allora si che ci sarebbe una degenerazione della liberta’, dei diritti e della democrazia. Vai su internet e cerca “conferenza di Monaco” Anche se hai avuto tantissime visualizzazioni rimani un’asina",asina,1,1
20016,"Ringrazio pubblicamente @CarloCalenda,senatore della Repubblica Italiana,per il suo retweet con commento dove mi dà dell'asina.\nGrazie a lui, per la prima volta nella storia ho fatto 15.000 visualizzazioni in un'ora 😂",asina,1,0
20017,@DSantanche Lei signora Garnero deve farsene una ragione: il botulino le ha distrutto l’unico neurone! I passaporti vengono usati per fare turismo all’estero!!!! Asina!!!! Cosa c’entra con migliorare il turismo in Italia???? Una vecchia senza arte né parte!!! Il governo dei coglioni,asina,1,1
20018,@BITCHYFit A lavare la testa all'asinA...\n@OriettaBerti @GiuliaSalemi93 @GrandeFratello \n=====\n@alfosignorini \n@SBruganelli,asina,0,0
20019,@GattoneTele @DSantanche @DSantanche è un asina.,asina,1,1
20020,@ardigiorgio Ancora con questi periodi ipotetici dell’irrealtá.\nChissà cosa avrebbero detto se avessero visto l’asina volare.,asina,0,0
20021,"Come non Amare Pompei :) \nVilla di Poppea ( chi non ricorda l’aneddoto che ci raccontavano già alle elementari, del suo bagno nel latte di asina ) , mah !. https://t.co/qxiMMRUlim",asina,0,0
20022,@SCL13LIDIA @MarcoFattorini Pezzo di asina lo sanno tutti che la milizia ucronazi si nascondono nei palazzi residenziali .  Merde umane loro e chi da loro supporto,asina,1,1
20023,@Simona_Cam Cùrati asina.,asina,1,1
20024,"@Duazfan @marydramaa Intanto Oriana (è questo il suo nome, asina) ha detto a Luca che spera che torni con Ivana ma vabbè",asina,1,1
20025,"@MariAn_due @GiancarloDeRisi Perché sei un'asina non informata , semplice.",asina,1,1
20026,Domani devo recuperare assolutamente le live di Jungkook e weverse deve sbrigarsi ad accettare i sottotitoli in italiano sono un asina con l' inglese,asina,1,0
20027,Sta asina è la prima che parla sopra la gente è mo piange. Ma vaffanculo va  #controcorrente,asina,1,1
20028,La palomb asina sculacciata dalla @GiorgiaMeloni è una novità che farà notizia su tutti i giornali di domani \n\nHa fatto bene. \nE comunque L’asina è contenta di aver fatto lo sgubb proprio nella sua trasmissione #StaseraItalia\n#controcorrente,asina,1,1
20029,"@repubbilca Il latte d' Asina , è quello che assomiglia di più al latte materno .Il latte di blatte di fogna ,serve per ammalare i bambini . 😡😡😡",asina,0,0
20030,@marcell77540365 Una che scrive asina spagnola   ne ha di boria da vendere.,asina,1,0
20031,Ma davvero si vuol far passare sta asina spagnola come un personaggio rilevante? Questa cosa fa paura! #gfvip,asina,1,1
20032,#gfvip queste persone non sono NEUTRONI\nASINA IGNORANTE. SI DICE :\nNEUTRALI\nALLUCINANTE ALTRO CHE LAUREA O LATINO https://t.co/xZyrtvYm6v,asina,1,1
20033,@HoaraBorselli ah ok...il problema è il correttore;\naltra buona occasione per andarsi a fare una corsetta con orecchie da asina,asina,0,0
20034,@GiorgiaMeloni lo capisci o che noi Italiani veri non vogliamo la guerra e dare armi all'Ucraina??? Cazzo!!!!! Ma sei proprio un' asina di coccio!!!! https://t.co/IRHFyISIO5,asina,1,1
20035,"@Takutakualb @LaSignoraLupo Si definisce socialista NON liberale. Qualunque cosa voglia dire, è sulla confessione religiosa che ...casca l'asina!",asina,1,0
20036,@Loredana_Dana75 Più che un pony mi pare un asina!,asina,0,0
20037,@virnetta8 @Adrianaerosario 😂😂😂peccato che l’unica asina sei proprio tu e anche cattiva,asina,1,1
20038,La palomballe si rivela per quello che è. Un asina\nLa corte costituzionale ha rigettato più e più volte \nla modifica del #41bis \n\nQuindi non c’e’ cazzo che tenga. \n#staseraitalia,asina,1,1
20039,"@RobertoAvventu2 La Burioni della geopolitica, un'asina! #Tocca",asina,1,1
20040,@gaga_inside E anche per il latte d’asina.,asina,0,0
20041,buona domenica 8 gennaio l'asina di Balaam: cercare la verità e fare la cosa giusta https://t.co/izCv55hBxG via @YouTube,asina,0,0
20042,"@rosikone Mah hai avvalorato la mia tesi: nessun genitore è perfetto, quindi un figlio venuto al mondo da una vacca piuttosto che da un’asina e poi dato a crescere alle scimmie piuttosto che ai cavalli non fa alcuna differenza. Questa polemica su froci e uteri a pagamento è inutile.",asina,0,0
20043,"@DarkLadyMouse @a_meluzzi Anche chi non si è vaccinato lo ha fatto per tutelare la propria salute, visto che trattasi di 'farmaco sperimentale '. Questa è la differenza tra i ""fedeli"" delle virostar (bugiardi) e chi ha ancora capacità di Discernimento. Asina.",asina,1,1
20044,@2022Lina53 Roba da mettere le mutande ad  un’asina,asina,0,0
20045,"@Semreh10 devi leggerla al contrario, asina",asina,1,1
20046,@stevieansioso L'asina non sa neanche che nei 3 anni non abbiamo vinto un cazzo.\nCome si disdice il canone?😡,asina,1,1
20047,"Magari Potesse entrare a fare parte della giuria, oltretutto è molto più competente di quell'asina della Luccarelli!!! https://t.co/a95OcrXaXK",asina,1,1
20048,"Vicenza, i gatti uccisi e l’asina ferita a fucilate: quei violenti che odiano gli animali https://t.co/CV8tVv8dMl",asina,0,0
20049,@AnnalisaChirico Ma te la scuola l'hai frequentata solo per far spendere soldi agli italiani?\nE perché usi il punto esclamativo al posto dell'interrogativo asina?😏,asina,1,1
20050,Chiedo per una amica: i noodles sono il nuovo latte di asina? #jeru #barulino https://t.co/dRgPVhcYil,asina,0,0
61201,avevo chiesto a mia madre di andare al mc domani e lei ha dovuto dirlo per forza a mio padre e ora lui mi ha urlato contro che sono una balena e che faccio schifo,balena,1,0
61202,@grignanipage In c… alla balena 🌈🌈,balena,0,0
61203,"RT @ArditoAspetto: @UNIREDPILL Ahahahahahah. Una balena che detta le condizioni. 1,70 senza tacchi e 120 kili senza mutande. ",balena,1,1
61204,@brina444 quanto cazzo mangi porco due sei na balena pe spende 80€  de cena de routine,balena,1,1
61205,RT @donvitorap: metafora di GIGA elefante formica o balena ha cervello cento giga umani ha 3 giga ahahah SCEMI SCEMI come la canzone di Vasco,balena,0,0
61206,"@UNIREDPILL La balena spiaggiata e pure vecchia, sta a fare la schizzinosa ma manco i vucumprà della spiaggia se la pigliano.",balena,1,1
61207,@__MrsUoma__ In realtà lo uso pochissimo..di tanto in tanto mi balena l'idea di buttarlo giù..,balena,0,0
61208,"@meandmilli Per quando non mi piaccia, bisogna dire che si è girata così quando ha sentito dire da Micol che forse non può indossare nessuno dei tre vestiti perché è diventata una balena (cito testuali parole)",balena,1,0
61209,"Ma micol, come fai a dire che sei una balena?\nSe bellissima ❤️ #incorvassi #gfvip",balena,1,0
61210,"@meandmilli Si è girata così al suo ""sono una balena"", questa volta la faccia era identica alla mia 😂",balena,1,0
61211,@Ileniastellaa Perché dice di essere una balena,balena,1,0
61212,povera cucciola ha detto che non sa se le stanno bene perché si sente una balena 🥲\n#incorvassi #GFvip https://t.co/60dVw5HQLG,balena,1,0
61213,"Ma quale balena, se è dimagrita un botto 🤦🏼‍♀️ #INCORVASSI",balena,1,0
61214,Micol se dici ancora di essere diventata una balena ti vengo a picchiareeee #incorvassi,balena,1,0
61215,Micol che dice che non sa quale vestito le stara' bene perché è diventata una Balena #incorvassi,balena,1,0
61216,"Nel video una balena spiaggiata sulle coste di Long Island. Nell'ultimo mese sono sette i cetacei trovati sulle rive degli stati di New York e New Jersey, alcuni danno la colpa ai lavori di preparazione dell'eolico offshore https://t.co/dlxXZiyZQA",balena,0,0
61217,@sonoilgrinch persona più felice del mondo. Faccio ancora fatica a guardarmi allo specchio perché vedo sempre quella “balena” come mi definivano e inizio solo ora a sbloccarmi nel parlare con le persone,balena,1,0
61218,la riunione\nfissare\npiovere-pioggia\nflauto\ndeciso-decidere\ncominciare/camminare\ninsistere-insistito\nesprimere/espresso\nprodurre-prodotto\nspegnere/chiudere\naccendere-acceso\nspegnere-spento\nprestare/ridare\noltre/altro\ndomanda/risposta\nannullare\ncilindro\npesca/pesce\npiccante\nbalena,balena,0,0
61219,"@fillequisiffle mi par il minimo, sto bisticciando col mio comune perché la mettano dove sto: sostanzialmente in culo alla balena 🤣",balena,0,0
61220,@eretico_l @modamanager @laperlaneranera @Anna302478978 @SmitArianna @lisargadata @Victoria_Wet @Dorayak56884206 @PaolaSimonin @Charles96432447 @avinumalkeinu @Overbite71 @ACCEDIALSITO @Luky_Alfio3945 @MariaFi27832951 @francobaietti @d_essere @armidmar @digibaby @ilbuonpaztore @MarcoLu41052677 @Giovanni7769 @LONG00885513 @Th3P3ck @sedicizero @bevilatazza @Emanuelesecond @LuciusV72261299 @Gabriel05470893 @Maya51031588 @Silvia26143094 @vincenz94704898 @fracci_carlo @pdnetwork @M5S_Senato @LegaSalvini @M5S_Camera @articoloUnoMDP @ItaliaViva @GiuseppeConteIT @ladyonorato @Pierferdinando @GiorgiaMeloni @robersperanza @berlusconi @GuidoCrosetto @Antonio_Tajani Tutti gli ometti del presidente.. la Balena nuota in aree pericolose\n La Nancy Gambino è  nei guai.. Contano sulla Mafia. #MessinaDenaro era il cavallo dei figli di troia per fare uscire i boss.Strategia del Terrore? Pare che la Capua abbia chiesto aiuto🦋\nhttps://t.co/BC6x5AyrCs,balena,0,0
61221,In quanti sogni e mani scivolavano pagine di memoria -\nOpera di V. Balena.\nhttps://t.co/URGbzEt1vm\n\n@zuccaro_sonia @pa_raffa @CarmelaCusmai\n@PCattoretti @vitadaMaestra_ @SiMu2021\n@IlvaMenchini @IvoMandarino @UnmondodilibriC\n#BuongiornoATutti @MicScianca \nhttps://t.co/T6GEjpCfA5 https://t.co/JiJWkLzjPm,balena,0,0
61222,"#Cristianità\n⚠️vietato🚫\n-🐬🐳🐋🦈 delfino, balena, orca, squalo \n(in #giappone li mangiano)\n\n⚠️vietato🚫\n\n- 🐙🦑🦐🍤🦞🦀🥟🐚 polipo, seppia, gamberi, gamberetti, aragosta, granchio, vongole, cozze\n(paesi sud asiatici lo mangiano per tradizione, paesi occidentali come trend)",balena,0,0
61223,"Musica &amp; divertimento, Manuela Bollani ospite dei Giovedì della Balena https://t.co/sPw9Bo6Lk5",balena,0,0
61224,@fabcet Vero. Ma almeno nella balena bianca i ministri non sparavano boiate in continuazione 🤬,balena,0,0
61225,Manuela Bollani il 2 febbraio ospite ai Giovedì della Balena a Rosignano Solvay https://t.co/zUqBDymBhg #show #showtime #febbraio #ArtistOnTwitter,balena,0,0
61226,"tra donne poi è uno schifo sentire certe battutine ""sono grossa mamma mia ho le gambe da balena"" ed erano magre vabbè chiudevo un occhio però poi diventava anche pesante la cosa",balena,1,0
61227,"@diehexe68 Non perderti gli stupendi particolari invernali da fotografare, mi raccomando; ogni scatto racconta una storia \n(Devo dire che mi stó appassionando, già mi balena l'idea si prendere una reflex...) \nBuona giornata 💙🌸",balena,0,0
61228,Manuela Bollani ai Giovedì della Balena https://t.co/jv9kznZeFw via @Oltrelecolonne,balena,0,0
61229,unica cosa bella è che ha detto che pesa 60kg adesso quindi peso meno di lei anche se sembro una balena 😍,balena,1,0
61230,"@pap1pap ""Guarda Pap, una balena!""",balena,0,0
61231,"@pasqualevatino @Rossy_only @Daje77 Hai ragione, e mi mancavano pure, anche se sono altrusta, se trovassi qualcuna, dono tutto il grasso di balena😂",balena,1,0
61232,@paola_demicheli Evviva la balena bianca di buona memoria!! Quante volte vi dovete  spiaggiare prima di rendervi conto che siete troppo diversi e non trovate contenuti condivisibili intorno ai quali consolidarvi e ricostruire?Non perdete + tempo e trovate una nuova classe dirigente.,balena,0,0
61233,"In #Giappone spunta la carne di balena nei distributori automatici, polemiche dagli animalisti\nhttps://t.co/qyKuGo935p via @LaStampa",balena,0,0
61234,"P. Manuel João, comboniano\nRiflessione domenicale\ndalla bocca della mia balena, la sla\nLa nostra croce è il pulpito della Parola\n\nLE OTTO PORTE DEL REGNO\nIV Domenica del Tempo ordinario (A)\nhttps://t.co/kDjqlXnudx",balena,0,0
61235,Uno squalo balena fa uno spuntino veloce.🐋\n https://t.co/A85V5Io0Js,balena,0,0
61236,"@PdorKmerson ""fanno salire"", I mean. Il senso è che i giganteschi uccelli-simha portavano ai loro nidi come prede balene (timi è un grande pesce balena-like) ed elefanti.",balena,0,0
61237,"Sono di nuovo una balena, ma i denti si stanno sbiancando e sono una bimba felice 🥺",balena,1,0
61238,@dsaltari @perelaa Rigorosamente da indossare in abbinamento agli occhialini stile Kanye in osso di balena https://t.co/C6ejpZdrDE,balena,0,0
61239,"""Le balene non cantano perché hanno una risposta, cantano perché hanno una canzone.""\nGregory Colbert\nIn Giappone un'azienda ha reso disponibile carne di balena nei distributori automatici \n#whale #whales #Japan #naturelover #art #artworks #arte #artists #draw #draws #drawing https://t.co/P6sXuQhjIs",balena,0,0
61240,Giappone: carne di balena acquistabile nei distributori automatici - https://t.co/cQhrh1LZ81 https://t.co/eijebyLBDd,balena,0,0
61241,@1V4vendetta anche noe ' dell arca e jona nella balena..mose' pure era ucraino ... forse pure jesu' ahaha🤪🤪,balena,0,0
61242,Quanto sei vecchio!! Perche non torniamo alle lampade con il grasso di balena ! https://t.co/0DQEWBAwoN,balena,0,0
61243,"#100GiorniDiCoseBelle\n\nHerman Melville - Moby Dick \n\nCome può evadere il prigioniero se non aprendosi un varco attraverso il muro? Per me, la balena bianca è quel muro. Talvolta penso che al di là non ci sia nulla. Ma mi basta. Mi occupa, mi colma",balena,0,0
61244,@ilpitagora @matteosalvinimi Quando ti balena in mente che dalla ramanzina senza pena per furto puoi rischiare di farti 20/30 anni per omicidio vedi come cambi atteggiamento... son tutti buoni con i figli sotto i treni degli altri!,balena,0,0
61245,Oggi ritorno in piscina dopo 12 giorni senza fare nulla. Se non faccio la balena poco ci manca,balena,1,0
61246,E' una... Balena che ha perso l'orientamento 😂\n(o è una furbastra che ha voluto far parlare di sé) https://t.co/jMzJ57Xmcv,balena,1,1
61247,@drvcarys_ @Dysagyo_ Tra il non normalizzare e il dargli della balena ci sta l’oceano pacifico.,balena,1,0
61248,"@borghi_claudio Non lo deve spiegare a noi.\nNoi elettori, in buona parte, lo sapevamo già\nNon è che per distinguere una balena da un pero serva una laurea in biologia o almeno un diploma da perito agrario.\nTremaglia fraintese il ""me ne frego"" degli italiani all'estero e altri si sono organizzati",balena,0,0
61249,"Ancora sta balena, ogni volta che apre bocca è un aborto https://t.co/JzL7dtvfci",balena,1,1
61250,"@KasperReloaded La consapevolezza rende esausti e non sarebbe un riposo quello che ti balena in mente ma una rinuncia a essere te stesso.Non si può. Qualunque sia la fine la dovrai vivere proprio perché non hai accettato  la comodità del pensiero uniforme, dell'omologazione, cercando la Verità.",balena,0,0
30001,quelal bambola pazza era una wolfgang stan lo posso percepire,bambola,0,0
30002,"@GrandeFratello Nemmeno Antonella con te, tranquilla, bambola assassina😡😡😡😡😡😡sei solo gelosa perché vorresti essere come lei... Il nostro 🌞",bambola,1,1
30003,Visto M3GAN e tbh la vorrei pure io la bambola assassina che mi canta Titanium per farmi addormentare,bambola,0,0
30004,Bambola assassina  #gfvip https://t.co/hrniR4bpS1,bambola,0,0
30005,@Ughigu1508 @lefrasidiosho Io ho un opera con la bambola gonfiabile volante 🤣,bambola,0,0
30006,"#Gfvip Edobau al femminile è molto meglio, ha proprio la faccia da bambola assassina 🤣",bambola,1,1
30007,@sunnysrequiem hey bambola guarda che ho messo lo smalto nero e ho fumato ciao banvola,bambola,1,1
30008,La bambola assassina https://t.co/Pfc2UenA4o,bambola,0,0
30009,@Bho98496481 Anche la bambola di ceramica ne ha 30.,bambola,0,0
30010,"#donnalisi cqe due cose:\nEdo e Daniele con quelle parrucche inguardabili😂😂\nMio figlio passa davanti alla tv e mi fa: la bambola assassina😂😂😂😂😂😂\nChe streghe, hanno proprio quell'acidume rabbioso..",bambola,1,1
30011,@annefake_ io a te bambola,bambola,1,0
30012,@_blubluu_ Oh cazzarola arrivo bambola,bambola,1,0
30013,La falsità di O.e della bambola assassina non ha prezzo #donnalisi,bambola,1,1
30014,"Tavassi,Luca onestini è  Oriana  vesitit così stasera mi Fanno morire.. Tavassi  troppo  forte 😅😅 Oriana sembra una bambola bellissima. ❤️🤗 #GFvip #Oriana #oriele",bambola,1,0
30015,Daniele sembra la bambola assassina ⚰️ #oriele,bambola,0,0
30016,"purtroppo vi bloccherei uno ad uno quando scrivete “antonella basta” “anto accanna”, ma vi pare una bambola? ma tacete #donnalisi",bambola,1,0
30017,@southernmilf5 @MatureMaturibsx @Guy77The Wow sei una bambola,bambola,1,1
30018,ORIANA SEMBRA UNA BAMBOLA 😭😭😭😭😭😭😭😭😭😭,bambola,1,1
30019,mamma mia che bambola ✨\n#incorvassi #GFvip https://t.co/Vzl1NsrY66,bambola,1,0
30020,💥OFFERTA!!💥38% sconto su Barbie L'Armadio Dei Sogni - Con Bambola Barbie Bionda - Specchiera - Oltre 25 Vestiti e Accessori Barbie - 60 Cm - Regalo per Bambini dai 3... \n\n❌ precedente 85.99€\n✔️ ora per 52.97€ #offerte\n\nNegozio: https://t.co/roKDV45OTh\n\nFai RT e condividi https://t.co/WzB0Q0K3Ow,bambola,0,0
30021,@occhiblumare09 Wow sei una bambola,bambola,1,1
